Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Summary
Lyricfetch,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,lyricfetch/tests/test_scraping.py::test_scrape[lyricsmode-motorhead-like a nightmare],NOD,Lyricfetch/ipflakies_result/flakies.json
mgun,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_mgun.py::TestHttpRequests::test_patch[first],NOD,mgun/ipflakies_result/flakies.json
neurodsp,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,neurodsp/tests/aperiodic/test_dfa.py::test_compute_fluctuations_dfa,victim,neurodsp/ipflakies_result/flakies.json
neurodsp,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,neurodsp/tests/aperiodic/test_irasa.py::test_fit_irasa,victim,neurodsp/ipflakies_result/flakies.json
mythx-cli,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_report.py::test_report_sonar,victim,mythx-cli/ipflakies_result/flakies.json
dzonegit,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,test_dzonegit.py::test_get_zone_name,NOD,dzonegit/ipflakies_result/flakies.json
yunomi,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,yunomi/tests/test_exp_decay_sample_test.py::ExponentiallyDecayingSampleTests::test_long_period_of_inactivity_should_not_corrupt_sampling_state,NOD,yunomi/ipflakies_result/flakies.json
ColonyScanalyser,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/unit/test_growth_curve.py::TestGrowthCurve::TestProperties::test_lag_time,NOD,ColonyScanalyser/ipflakies_result/flakies.json
compiletools,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,ct/test_cake.py::TestCake::test_deeper_include_edit_recompiles,NOD,compiletools/ipflakies_result/flakies.json
dcard-spider,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_posts.py::TestPosts::test_with_ids_through__call__,brittle,dcard-spider/ipflakies_result/flakies.json
dcard-spider,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_posts.py::TestPosts::test_get_post_bundles,victim,dcard-spider/ipflakies_result/flakies.json
logparser,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_utils.py::test_check_update,NOD,logparser/ipflakies_result/flakies.json
crfmnes,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_constraint_sphere.py::test_run_d80_const_sphere,NOD,crfmnes/ipflakies_result/flakies.json
crfmnes,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_ellipsoid.py::test_run_d80_ellipsoid,NOD,crfmnes/ipflakies_result/flakies.json
crfmnes,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_ktablet.py::test_run_d80_ktablet,NOD,crfmnes/ipflakies_result/flakies.json
crfmnes,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_rastrigin.py::test_run_d40_rastrigin,NOD,crfmnes/ipflakies_result/flakies.json
crfmnes,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_rastrigin.py::test_run_d80_rastrigin,NOD,crfmnes/ipflakies_result/flakies.json
bluebees,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_application_data.py::test_application_data,NOD,bluebees/ipflakies_result/flakies.json
bluebees,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_file_helper.py::test_load,NOD,bluebees/ipflakies_result/flakies.json
bluebees,https://github.com/efe/zula,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_file_helper.py::test_write_read,NOD,bluebees/ipflakies_result/flakies.json
