id,module,name,file,doc,markers,status,message,duration
tests/unit/test_load_config_from_env.py::TestLoadConfigFromEnv::test_load_config_from_env_without_env_var,tests.unit.test_load_config_from_env,test_load_config_from_env_without_env_var,tests/unit/test_load_config_from_env.py,,,passed,,0.0013457238674163818
tests/unit/test_basic_config.py::TestBasicConfig::test_unregister_config,tests.unit.test_basic_config,test_unregister_config,tests/unit/test_basic_config.py,,,passed,,0.0021256357431411743
tests/unit/test_load_config_from_env.py::TestLoadConfigFromEnv::test_load_config_from_env,tests.unit.test_load_config_from_env,test_load_config_from_env,tests/unit/test_load_config_from_env.py,,,failed,"AssertionError: assert 'test2' == 'test1'
  - test1
  ?     ^
  + test2
  ?     ^",0.012370400130748749
