id,module,name,file,doc,markers,status,message,duration
tests/unit/test_load_config_from_env.py::TestLoadConfigFromEnv::test_load_config_from_env_without_env_var,tests.unit.test_load_config_from_env,test_load_config_from_env_without_env_var,tests/unit/test_load_config_from_env.py,,,passed,,0.0014766231179237366
tests/unit/test_load_config_from_env.py::TestLoadConfigFromEnv::test_load_config_from_env,tests.unit.test_load_config_from_env,test_load_config_from_env,tests/unit/test_load_config_from_env.py,,,failed,"AssertionError: assert 'test2' == 'test1'
  - test1
  ?     ^
  + test2
  ?     ^",0.01276126503944397
