Project_Name,Project_URL,Project_Hash,Test1,Message1,Test2,Message2,Script,Gruber
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_kicker_returns_expected_kicking_stats,"AssertionError: assert 111 == 91
 +  where 111 = getattr(<sportsreference.ncaaf.roster.Player object at 0x7f4ec43d8190>, 'extra_points_made')",tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_player_returns_requested_season_stats,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_shutout_multiple_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_shutout_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_saves_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_shutout_multiple_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_shutout_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_shutout_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_saves_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_saves_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_shutout_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_team_wins,nan,passed,Passed
