Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,Order-dependent,Verdict_Isolated,Verdict_OriginalOrder
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_is_terminal,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_list_graph_edges,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_list_graph_vertices,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_num_edges,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_num_vertex,,True,Passed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_show_edge,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_true_cycle_graph,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_vertex_degree,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_vertex_exists,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_vertices_adjacency,,True,Failed,Passed
PyPOM,https://github.com/mozilla/PyPOM,9cb84df9d27b428b4e7423d1bbe6502e92990154,tests/test_driver.py,,test_register_driver,,True,Passed,Passed
PySyncDroid,https://github.com/DusanMadar/PySyncDroid,9a217a54f4286af8e7505c184eb2a6775f52d815,tests/test_sync.py,TestSync,test_do_sync,,True,Passed,Passed
PySyncObj,https://github.com/bakwc/PySyncObj,792b6112cfa234716f5e0408194114f1abc8b1ad,test_syncobj.py,,test_batteriesCommon,,True,Passed,Passed
PyXenaValkyrie,https://github.com/xenadevel/PyXenaValkyrie,92b45f1f37a5589cbdb9224a287fa0426d2c8d47,tests/test_errors.py,TestXenaErrors,test_errors,[socket],True,Passed,Passed
Rainy,https://github.com/kngwyu/Rainy,28a7ea53e577a9c209414b4fff3a22c6d8b530d0,tests/test_hooks.py,,test_video_hook_atari,,True,Failed,Passed
RandomFileTree,https://github.com/klieret/RandomFileTree,aaaa975ae61afa6f0f5b481ebafcfa0f0216e471,randomfiletree/test/test_core.py,TestTreeCreation,test_create_random_dirs,,True,Passed,Passed
Reusables,https://github.com/cdgriffith/Reusables,171ea3dc10a37ed46ff833c48926a995496d2fc6,test/test_reuse.py,TestReuse,test_duplicate_dir,,True,Failed,Passed
Reusables,https://github.com/cdgriffith/Reusables,171ea3dc10a37ed46ff833c48926a995496d2fc6,test/test_reuse.py,TestReuse,test_dups,,True,Passed,Passed
SCout,https://github.com/holzkohlengrill/SCout,8fd1eca0607b27d6e0c537b2ea1211d23356edff,tests/test_header.py,TestHeaderLogger,testSingleArg,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/certificate_info/test_certificate_algorithms.py,TestCertificateAlgorithms,test_rsa_certificate,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/certificate_info/test_certificate_info_plugin.py,TestCertificateInfoPlugin,test_succeeds_when_client_auth_failed,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/openssl_cipher_suites/test_openssl_cipher_suites_plugin.py,TestCipherSuitesPluginWithLocalServer,test_sslv2_enabled,,True,Failed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/openssl_cipher_suites/test_openssl_cipher_suites_plugin.py,TestCipherSuitesPluginWithLocalServer,test_succeeds_when_client_auth_failed_tls_1_2,,True,Failed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/openssl_cipher_suites/test_openssl_cipher_suites_plugin.py,TestCipherSuitesPluginWithLocalServer,test_succeeds_when_client_auth_failed_tls_1_3,,True,Failed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_early_data_plugin.py,TestEarlyDataPlugin,test_early_data_disabled,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_fallback_scsv_plugin.py,TestFallbackScsvPlugin,test_fallback_bad,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_fallback_scsv_plugin.py,TestFallbackScsvPlugin,test_works_when_client_auth_succeeded,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_heartbleed_plugin.py,TestHeartbleedPlugin,test_succeeds_when_client_auth_failed,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_heartbleed_plugin.py,TestHeartbleedPlugin,test_vulnerable,,True,Passed,Passed
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_openssl_ccs_injection_plugin.py,TestOpenSslCcsInjectionPlugin,test_vulnerable,,True,Failed,Passed
